id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42515,Rental unit in Geneva · ★4.73 · 1 bedroom · 1 bed · 1.5 shared baths,185647,Noelle,,Commune de Genève,46.20198,6.15672,Private room,89,3,73,2023-11-03,0.49,1,363,6,
107438,Rental unit in Geneva · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths,556499,F. M.,,Commune de Genève,46.18905,6.16154,Private room,60,5,23,2019-11-30,0.15,1,362,0,
203997,Rental unit in Geneva · ★4.90 · 1 bedroom · 1 bath,1001280,Mike,,Commune de Genève,46.19964,6.1558,Entire home/apt,165,5,83,2023-11-03,0.61,2,90,8,
276025,Rental unit in Versoix · ★4.62 · 1 bedroom · 4 beds · 1 bath,1442438,Gaby,,Versoix,46.28031,6.16833,Entire home/apt,78,7,118,2023-09-16,0.82,1,311,12,
338682,Rental unit in Geneva · ★4.81 · 1 bedroom · 1 bed · 1.5 baths,1001280,Mike,,Commune de Genève,46.20708,6.15545,Entire home/apt,157,5,116,2023-09-26,0.81,2,55,1,
399388,Rental unit in Carouge · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,1994454,Oscar,,Commune de Genève,46.18904,6.13908,Private room,47,2,50,2023-12-03,0.36,2,117,2,
411058,Loft in Geneva · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,1706035,Julik,,Commune de Genève,46.21127,6.1454,Private room,125,2,53,2023-09-16,0.45,1,83,5,
419631,Rental unit in Geneva · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,2086993,Mark,,Commune de Genève,46.1995,6.17308,Private room,91,2,77,2023-11-24,0.60,2,10,21,
476344,Rental unit in Geneva · ★4.76 · 3 bedrooms · 4 beds · 2.5 baths,2361206,Jean,,Commune de Genève,46.19327,6.15306,Entire home/apt,269,3,210,2023-12-11,1.50,1,144,42,
494701,Rental unit in Geneva · ★4.10 · 4 bedrooms · 4 beds · 1.5 baths,2388229,Alberto,,Commune de Genève,46.20509,6.12383,Entire home/apt,175,7,181,2023-12-09,1.33,5,338,7,
